Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
447	64682.0	23601.0	0.791	3006.0	1.0
448	34631.0	22396.0	0.902	3056.0	1.0
449	48222.0	22368.0	0.8355	2923.0	1.0
450	37113.0	21562.0	0.8675	2959.0	1.0
451	41403.0	23060.0	0.8615	3130.0	1.0
452	34767.0	20426.0	0.87	2838.0	1.0
453	52512.0	22977.0	0.816	3137.0	1.0
454	45139.0	21792.0	0.842	2845.0	1.0
455	57929.0	22627.0	0.811	2858.0	1.0
456	36577.0	22030.0	0.8845	2976.0	1.0
457	42188.0	20867.0	0.8385	2902.0	1.0
458	30428.0	20760.0	0.9095	2913.0	1.0
459	36612.0	22223.0	0.88	3254.0	1.0
460	33910.0	20326.0	0.8795	2789.0	1.0
461	28958.0	19726.0	0.9065	2924.0	1.0
462	41892.0	21652.0	0.845	3084.0	1.0
463	36019.0	20555.0	0.8695	2958.0	1.0
464	44255.0	21400.0	0.8315	2959.0	1.0
465	41270.0	21328.0	0.856	2876.0	1.0
466	37260.0	21434.0	0.8715	2950.0	1.0
467	56846.0	22299.0	0.7905	2908.0	1.0
468	58887.0	22873.0	0.792	2942.0	1.0
469	45496.0	21421.0	0.834	2698.0	1.0
470	46182.0	23080.0	0.8435	3089.0	1.0
471	55960.0	21888.0	0.793	2874.0	1.0
472	35982.0	22323.0	0.892	2975.0	1.0
473	36692.0	20323.0	0.8645	2853.0	1.0
474	45114.0	22127.0	0.8385	3037.0	1.0
475	47969.0	22817.0	0.8345	2971.0	1.0
476	62082.0	21685.0	0.7755	3062.0	1.0
477	153918.0	20399.0	0.646	3246.0	1.0
478	35810.0	21285.0	0.8775	2913.0	1.0
479	38237.0	21213.0	0.856	3095.0	1.0
480	35141.0	20873.0	0.8735	3263.0	1.0
481	43243.0	22312.0	0.845	3019.0	1.0
482	52954.0	22822.0	0.8025	3035.0	1.0
483	40549.0	21776.0	0.8595	3085.0	1.0
484	44967.0	22735.0	0.847	3174.0	1.0
485	49242.0	22725.0	0.817	3015.0	1.0
486	50653.0	23071.0	0.831	2878.0	1.0
487	52688.0	23122.0	0.82	3137.0	1.0
488	41760.0	21503.0	0.8435	3385.0	1.0
489	31499.0	19907.0	0.8875	3124.0	1.0
490	35226.0	20861.0	0.881	2888.0	1.0
491	34651.0	21112.0	0.879	3053.0	1.0
492	38099.0	21632.0	0.875	2803.0	1.0
493	45267.0	19159.0	0.81	3216.0	1.0
494	39558.0	21517.0	0.8585	3018.0	1.0
495	31457.0	20981.0	0.904	2964.0	1.0
496	40014.0	21939.0	0.856	3110.0	1.0
497	34205.0	20752.0	0.8835	2839.0	1.0
498	34631.0	21437.0	0.8825	2977.0	1.0
499	76595.0	23521.0	0.7525	2911.0	1.0
500	43716.0	20789.0	0.831	2954.0	1.0
